zip,primary_city,acceptable_cities,state,county,latitude,longitude
13843,South New Berlin,S New Berlin,NY,Chenango County,42.53,-75.35
13844,South Plymouth,So Plymouth,NY,Chenango County,42.58,-75.56
13846,Treadwell,Franklin,NY,Delaware County,42.34,-75.05
13849,Unadilla,,NY,Otsego County,42.32,-75.31
13850,Vestal,,NY,Broome County,42.08,-76.05
13856,Walton,,NY,Delaware County,42.16,-75.13
13859,Wells Bridge,,NY,Otsego County,42.36,-75.24
13861,West Oneonta,,NY,Otsego County,42.44,-75.11
13862,Whitney Point,,NY,Broome County,42.33,-75.96
13863,Willet,,NY,Cortland County,42.46,-75.91
13864,Willseyville,,NY,Tioga County,42.29,-76.37
13865,Windsor,"W Windsor, West Windsor",NY,Broome County,42.07,-75.64
13901,Binghamton,,NY,Broome County,42.1,-75.91
13903,Binghamton,,NY,Broome County,42.1,-75.91
13904,Binghamton,,NY,Broome County,42.1,-75.91
13905,Binghamton,,NY,Broome County,42.1,-75.91
14001,Akron,,NY,Erie County,43.01,-78.49
14004,Alden,,NY,Erie County,42.89,-78.49
14005,Alexander,,NY,Genesee County,42.9,-78.26
14006,Angola,,NY,Erie County,42.63,-79.02
14008,Appleton,,NY,Niagara County,43.31,-78.63
14009,Arcade,,NY,Wyoming County,42.53,-78.43
14011,Attica,,NY,Wyoming County,42.86,-78.28
14012,Barker,,NY,Niagara County,43.32,-78.55
14013,Basom,Alabama,NY,Genesee County,43.08,-78.39
14020,Batavia,,NY,Genesee County,42.99,-78.18
14024,Bliss,,NY,Wyoming County,42.58,-78.24
14025,Boston,,NY,Erie County,42.61,-78.72
14026,Bowmansville,,NY,Erie County,42.94,-78.68
14028,Burt,,NY,Niagara County,43.31,-78.71
14030,Chaffee,,NY,Erie County,42.56,-78.5
14031,Clarence,,NY,Erie County,42.98,-78.6
14032,Clarence Center,Clarence Ctr,NY,Erie County,43,-78.63
14033,Colden,,NY,Erie County,42.65,-78.68
14034,Collins,,NY,Erie County,42.49,-78.86
14036,Corfu,,NY,Genesee County,42.96,-78.4
14037,Cowlesville,,NY,Wyoming County,42.8,-78.44
14039,Dale,,NY,Wyoming County,42.82,-78.17
14040,Darien Center,,NY,Genesee County,42.89,-78.39
14041,Dayton,,NY,Cattaraugus County,42.42,-78.98
14042,Delevan,,NY,Cattaraugus County,42.49,-78.47
